OpportunityID,OpportunityTitle,OpportunityNumber,OpportunityCategory,FundingInstrumentType,CategoryOfFundingActivity,CategoryExplanation,CFDANumbers,EligibleApplicants,AdditionalInformationOnEligibility,AgencyCode,AgencyName,PostDate,CloseDate,LastUpdatedDate,AwardCeiling,AwardFloor,EstimatedTotalProgramFunding,ExpectedNumberOfAwards,Description,Version,CostSharingOrMatchingRequirement,ArchiveDate,GrantorContactEmail,GrantorContactEmailDescription,GrantorContactText,AdditionalInformationURL,AdditionalInformationText,CloseDateExplanation,OpportunityCategoryExplanation
305451,AHRQ Health Services Research Demonstration and Dissemination Grants (R18),PA-18-793,D,G,HL,,93.226,25,Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.,HHS-AHRQ,Agency for Health Care Research and Quality,05212018,2023-10-01,01202023,400000,,,,"The Research Demonstration and Dissemination Grant (R18) is an award made by AHRQ to an institution/organization to support a discrete, specified health services research project. The project will be performed by the named investigator and study team. The R18 research plan proposed by the applicant institution/organization must be related to the mission and priority research interests of AHRQ.",Synopsis 5,No,10312023,Grant_Queries@ahrq.hhs.gov,Receipt and Referral Officer,Agency for Healthcare Research and Quality &lt;br/&gt;Receipt and Referral Officer &lt;br/&gt;Email: Grant_Queries@ahrq.hhs.gov  &lt;br/&gt;Please be sure to reference the opportunity number in your email.,http://grants.nih.gov/grants/guide/pa-files/PA-18-793.html,http://grants.nih.gov/grants/guide/pa-files/PA-18-793.html,,
305572,NIOSH Small Research Grant Program,PAR-18-797,D,G,HL,,93.262,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are not allowed.",HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,05242018,2023-11-17,11182022,50000,,1000000,,"The purpose of this grant program is to develop an understanding of the risks and conditions associated with occupational diseases and injuries, to explore methods for reducing risks and preventing or minimizing exposure to hazardous conditions in the workplace, and to translate significant scientific findings into prevention practices and products that will effectively reduce work-related illnesses and injuries. The NIOSH R03 grant mechanism supports small occupational safety and health research projects that can be carried out with limited resources such as pilot and feasibility studies, secondary data analysis or development of research methods.",Synopsis 6,No,12232023,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV&lt;br/&gt;,http://grants.nih.gov/grants/guide/pa-files/PAR-18-797.html,http://grants.nih.gov/grants/guide/pa-files/PAR-18-797.html,,
305591,K01 Mentored Research Scientist Development Award,PAR-18-799,D,G,HL,,93.262,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the HHS Grants Policy Statement, are not allowed.",HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,05242018,2023-11-17,11182022,100000,,500000,,"The purpose of the K01 grant program is to provide support and dedicated time for a supervised (mentored) career development experience in occupational safety and health research, leading to research independence. This grant program also is to help ensure the availability of adequate numbers of highly trained scientists and educators to address critical issues in occupational safety and health.",Synopsis 4,No,12232023,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV&lt;br/&gt;,http://grants.nih.gov/grants/guide/pa-files/PAR-18-799.html,http://grants.nih.gov/grants/guide/pa-files/PAR-18-799.html,,
305594,NIOSH Exploratory/Developmental Grant Program (R21),PAR-18-798,D,G,HL,,93.262,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are not allowed.",HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,05242018,2023-11-17,11182022,200000,,1000000,,"The purpose of this grant program is to develop an understanding of the risks and conditions associated with occupational diseases and injuries, to explore methods for reducing risks and preventing or minimizing exposure to hazardous conditions in the workplace, and to translate significant scientific findings into prevention practices and products that will effectively reduce work-related illnesses and injuries. NIOSH sponsors exploratory and developmental research projects by providing support for the early and conceptual stages of projects. Applicants must concisely describe the occupational health burden(s) being addressed in their proposal while also linking the need for the proposed research activities to planned outputs that will help address or alleviate this burden. Applicants should clearly articulate the anticipated impacts of the proposed research, both during the project period and beyond.",Synopsis 6,No,12232023,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV&lt;br/&gt;,http://grants.nih.gov/grants/guide/pa-files/PAR-18-798.html,http://grants.nih.gov/grants/guide/pa-files/PAR-18-798.html,,
305727,Occupational Safety and Health Research (R01),PAR-18-812,D,G,HL,,93.262,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,05302018,2023-11-17,11182022,400000,,2000000,,"The purpose of the R01 grant program is (1) to develop an understanding of the risks and conditions associated with occupational diseases and injuries, (2) to explore methods for reducing risks and preventing or minimizing exposure to hazardous conditions in the workplace, and (3) to translate significant scientific findings into prevention practices and products that will effectively reduce work-related illnesses and injuries. The Research Project Grant (R01) supports a discrete, specified, circumscribed project in scientific areas that represent the investigators specific interests and competencies and that fall within the mission of NIOSH.",Synopsis 9,No,12232023,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV&lt;br/&gt;,http://grants.nih.gov/grants/guide/pa-files/PAR-18-812.html,http://grants.nih.gov/grants/guide/pa-files/PAR-18-812.html,,
322177,Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30 Clinical Trial Optional),PAR-20-043,D,G,HL,,93.397,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are not allowed.  See FOA for full eligibility details.",HHS-NIH11,National Institutes of Health,11042019,2121-10-12,03012022,,,,,"This Funding Opportunity Announcement (FOA) invites applications for P30 Cancer Center Support Grants (CCSGs) to support NCI-designated Cancer Centers. CCSGs support two types of cancer centers: 1) Comprehensive Cancer Centers, which demonstrate reasonable depth and breadth of research activities in each of three major areas: basic laboratory; clinical; and prevention, control and population-based research, and which have substantial transdisciplinary research that bridges these scientific areas; and 2) Cancer Centers, which are primarily focused on basic laboratory; clinical; and prevention, cancer control, and population-based research; or some combination of these areas. The purpose of both types of NCI-designated Cancer Centers is to capitalize on all institutional cancer research capabilities, integrating meritorious programs in laboratory, clinical, and population research into a single transdisciplinary research enterprise across all institutional boundaries. Cancer Centers supported through this FOA are expected to serve as major sources of discovery of the nature of cancer and of development of more effective approaches to prevention, diagnosis, and therapy; to contribute significantly to the development of shared resources that support research; to collaborate and coordinate their research efforts with other NCI-funded programs and investigators; and to disseminate research findings for the benefit of the community.",Synopsis 3,No,11112121,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster &lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-20-043.html,http://grants.nih.gov/grants/guide/pa-files/PAR-20-043.html,,
326457,Long-Term Effects of Disasters on Health Care Systems Serving Health Disparity Populations (R01- Clinical Trial Optional),PA-20-172,D,G,HL,,93.866,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply.  Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.  Foreign components, as defined in the NIH Grants Policy Statement, are not allowed.",HHS-NIH11,National Institutes of Health,04202020,2023-09-07,01202022,,,,,"The purpose of this Funding Opportunity Announcement (FOA) is to support investigative and collaborative research focused on understanding the long-term effects of natural and/or human-made disasters on health care systems serving health disparity populations in communities in the U.S., including the U.S. territories. NIH-designated health disparity populations include racial and ethnic minorities (Blacks/African Americans, Hispanics/Latinos, American Indians/Alaska Natives, Asians, Native Hawaiians and other Pacific Islanders), sexual and gender minorities, socioeconomically disadvantaged populations, and underserved rural populations.",Synopsis 1,No,10132023,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PA-20-172.html,http://grants.nih.gov/grants/guide/pa-files/PA-20-172.html,,
326501,Independent Scientist Award (Parent K02 - Independent Clinical Trial Not Allowed),PA-20-174,D,G,HL,,93.866,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-NIH11,National Institutes of Health,04232020,2024-05-07,04052023,,,,,"The purpose of the NIH Independent Scientist Award (K02) is to foster the development of outstanding scientists and enable them to expand their potential to make significant contributions to their field of research. The K02 award provides three to five years of salary support and &quot;protected time&quot; for newly independent scientists who can demonstrate the need for a period of intensive research focus as a means of enhancing their research careers. Each independent scientist career award program must be tailored to meet the individual needs of the candidate. This Funding Opportunity Announcement (FOA) is designed specifically for applicants proposing research that does not involve leading an independent clinical trial, a clinical trial feasibility study, or a separate ancillary clinical trial. Applicants to this FOA are permitted to propose research experience in a clinical trial led by another investigator. Applicants proposing a clinical trial or an ancillary clinical trial as lead investigator, should apply to the companion FOA",Synopsis 2,No,06062024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster &lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PA-20-174.html,http://grants.nih.gov/grants/guide/pa-files/PA-20-174.html,,
326524,Independent Scientist Award (Parent K02 - Independent Clinical Trial Required),PA-20-171,D,G,HL,,93.866,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-NIH11,National Institutes of Health,04232020,2024-05-07,04052023,,,,,"The purpose of the NIH Independent Scientist Award (K02) is to foster the development of outstanding scientists and enable them to expand their potential to make significant contributions to their field of research. The K02 award provides three to five years of salary support and &quot;protected time&quot; for newly independent scientists who can demonstrate the need for a period of intensive research focus as a means of enhancing their research careers. Each independent scientist career award program must be tailored to meet the individual needs of the candidate. This Funding Opportunity Announcement (FOA) is designed specifically for applicants proposing to serve as the lead investigator of an independent clinical trial, a clinical trial feasibility study, or a separate ancillary clinical trial, as part of their research and career development. Applicants not planning an independent clinical trial, or proposing to gain research experience in a clinical trial led by another investigator, must apply to companion FOA",Synopsis 2,No,06062024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster &lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PA-20-171.html,http://grants.nih.gov/grants/guide/pa-files/PA-20-171.html,,
326523,Independent Scientist Award (Parent K02 Independent Basic Experimental Studies with Humans Required),PA-20-173,D,G,HL,,93.866,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply. Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-NIH11,National Institutes of Health,04232020,2024-05-07,04052023,,,,,"The purpose of the NIH Independent Scientist Award (K02) is to foster the development of outstanding scientists and enable them to expand their potential to make significant contributions to their field of research. The K02 award provides three to five years of salary support and &quot;protected time&quot; for newly independent scientists who can demonstrate the need for a period of intensive research focus as a means of enhancing their research careers. Each independent scientist career award program must be tailored to meet the individual needs of the candidate. This Parent Funding Opportunity Announcement is for basic science experimental studies involving humans, referred to in NOT-OD-18-212 as prospective basic science studies involving human participants. These studies fall within the NIH definition of a clinical trial and also meet the definition of basic research. Types of studies that should be submitted under this FOA include studies that prospectively assign human participants to conditions (i.e., experimentally manipulate independent variables) and that assess biomedical or behavioral outcomes in humans for the purpose of understanding the fundamental aspects of phenomena without specific application towards processes or products in mind. Applicants not planning an independent clinical trial or basic experimental study with humans, or proposing to gain research experience in a clinical trial or basic experimental study with humans led by another investigator, must apply to the &apos;Independent Clinical Trial Not Allowed&apos; companion FOA. The proposed project must be related to the programmatic interests of one or more of the participating NIH Institutes and Centers (ICs) based on their scientific missions.",Synopsis 2,No,06062024,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster &lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PA-20-173.html,http://grants.nih.gov/grants/guide/pa-files/PA-20-173.html,,
326673,Identifying Innovative Mechanisms or Interventions that Target Multimorbidity and Its Consequences (R01 Clinical Trial Optional),PAR-20-180,D,G,HL,,93.866,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply.  Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.  Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-NIH11,National Institutes of Health,04302020,2023-09-07,01202022,,,,,"This Funding Opportunity Announcement (FOA) invites applications that seek to support the identification of shared mechanisms and development of innovative interventions to address multimorbidity (or multiple chronic conditions (MCCs)) and its consequences. Intervention research supported by this initiative should be designed to study: (1) mechanisms or pathways that prevent MCCs, including the identification of early biomarkers, behavioral pathways, and individual and contextual risk factors and interactions that contribute to the development of common MCCs; (2) targeted therapies and management, including self-management, of MCCs to delay progression and prevent onset of new diseases; and (3) innovative health care partnership models for managing or treating MCCs. Studies may include shared mechanisms, and assessments of interactions between risk factors and interventions that address MCCs at different periods of the lifespan in diverse populations. Use of innovative technologies to assess and intervene on risk factors and pathways are encouraged. Studies may also include those that make use of existing data and/or data linkages to explore new research questions that may be helpful in understanding the impact of mechanisms in isolation or in combination. Of particular interest are interventions that target prevention and treatment of multiple chronic health conditions, including study designs that address therapeutic targets for preventing co-occurring multiple chronic conditions. Prospective applicants whose research interests relate to developing improved measures and methods for understanding multimorbidity, including but not limited to measures/tools to support basic mechanistic discovery of shared MCC pathways and identification and initial evaluation of MCC shared signatures, should see PAR-XX-XXX.",Synopsis 1,No,10132023,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-20-180.html,http://grants.nih.gov/grants/guide/pa-files/PAR-20-180.html,,
326674,Advancing Research to Develop Improved Measures and Methods for Understanding Multimorbidity (R01 Clinical Trial Optional),PAR-20-179,D,G,HL,,93.866,25,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply.  Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.  Foreign components, as defined in the NIH Grants Policy Statement, are allowed.",HHS-NIH11,National Institutes of Health,04302020,2023-09-07,01202022,,,,,"This Funding Opportunity Announcement (FOA) invites applications that seek to improve the availability, quality, and utility of data and measures that capture multimorbidity or multiple chronic conditions (MCCs) and the methods for analyzing multimorbidity data. Research supported by this initiative should be designed to discover, develop, and/or evaluate MCC measures/tools that reflect the longitudinality and life course diversity of multimorbidity. This includes but is not limited to measures/tools to support basic mechanistic discovery of shared MCC pathways using animal models of MCCs, and identification and initial biological, analytical, and clinical evaluation of MCC shared signatures. Also sought are patient-focused studies that capture patient reports and related constructs such as functional limitations and quality of life; analytic approaches best suited for use with multimorbidity data and matched to target populations; and approaches that fully harness the wealth of multimorbidity data available in EHR systems. Studies may make use of existing data and data linkages to explore new research questions related to co-occurring MCCs. Prospective applicants whose research interests relate to studies that identify shared mechanisms or development of innovative interventions to address MCCs should see PAR-XX-XXX.",Synopsis 1,No,10132023,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster&lt;br/&gt;FBOWebmaster@OD.NIH.GOV,http://grants.nih.gov/grants/guide/pa-files/PAR-20-179.html,http://grants.nih.gov/grants/guide/pa-files/PAR-20-179.html,,
